source_name source_uniprot target_uniprot
H1 p07305 o15315
H1 p07305 p00441
H1 p07305 p08559
H1 p07305 p17861
H1 p07305 p21796
H1 p07305 p36957
H1 p07305 p62993
H1 p07305 q7kzn9
H1 p07305 q8nc60
H1 p07305 q96h96
H1 p07305 q9y6k9
H1 p10412 p16333
H1 p10412 p19320
H1 p10412 q13185
H1 p16401 p02751
H1 p16401 p19320
H1 p16401 p45973
H1 p16403 p00742
H1 p16403 p19784
H1 q02539 p54274
H1 q02539 q8ni51
H1 q02539 q9bz95
H1 q02539 q9nyb0
H1 q92522 p00441
H1 q92522 p08559
H1 q92522 p09622
H1 q92522 p17861
H1 q92522 p19320
H1 q92522 p21796
H1 q92522 p35610
H1 q92522 p36957
H1 q92522 q7kzn9
H1 q92522 q96h96
H2A a4ftv9 q7z3s9
H2A a4ftv9 q92624
H2A o75367 a1l162
H2A o75367 o43791
H2A o75367 p08559
H2A o75367 p09622
H2A o75367 p0c7t5
H2A o75367 p19320
H2A o75367 p21796
H2A o75367 p36957
H2A p04908 o00429
H2A p04908 p00441
H2A p04908 p08559
H2A p04908 p09622
H2A p04908 p21796
H2A p04908 p31040
H2A p04908 p36957
H2A p04908 q03468
H2A p04908 q7kzn9
H2A p04908 q96h96
H2A p04908 q99497
H2A p04908 q99714
H2A p0c0s5 o60732
H2A p0c0s5 q9nqs7
H2A p0c0s8 p55201
H2A p0c0s8 q7z3s9
H2A p0c0s8 q92624
H2A p0c0s8 q9nyb0
H2A p16104 o00267
H2A p16104 o75529
H2A p16104 p01023
H2A p16104 p02545
H2A p16104 p08138
H2A p16104 p0dp23
H2A p16104 p17693
H2A p16104 p47897
H2A p16104 p48740
H2A p16104 p60709
H2A p16104 p61769
H2A p16104 q14676
H2A p16104 q15554
H2A p16104 q15572
H2A p16104 q6zw49
H2A p16104 q8ivf5
H2A p16104 q8n423
H2A p16104 q8nhl6
H2A p16104 q96fw1
H2A p16104 q9y678
H2A p20671 p31040
H2A p20671 p36957
H2A p20671 q99714
H2A q16777 p15918
H2A q16777 p51608
H2A q16777 q86uy6
H2A q16777 q8ni51
H2A q6fi13 p08559
H2A q71ui9 p02751
H2A q71ui9 p09622
H2A q71ui9 p21796
H2A q71ui9 p36957
H2A q71ui9 q7kzn9
H2A q71ui9 q96h96
H2A q7l7l0 p56279
H2A q7l7l0 p60369
H2A q93077 p48039
H2A q93077 q92481
H2A q93077 q9bxl5
H2A q96qv6 p02751
H2B o60814 p54198
H2B p06899 o43711
H2B p06899 p02751
H2B p06899 p08559
H2B p06899 p19320
H2B p06899 q6nyc1
H2B p33778 q03468
H2B p57053 p02751
H2B p58876 p54198
H2B p62807 o15315
H2B p62807 p09622
H2B p62807 p21796
H2B p62807 p31040
H2B p62807 q13625
H2B p62807 q7kzn9
H2B q16778 o95819
H2B q16778 p15918
H2B q16778 p25440
H2B q16778 p51608
H2B q93079 q8iuh5
H2B q96a08 p08559
H2B q96a08 q7kzn9
H2B q99877 q01844
H2B q99877 q9p287
H2B q99880 p19320
H3 p49450 o60610
H3 p49450 p00519
H3 p49450 p06241
H3 p49450 p42771
H3 p49450 q8ncd3
H3 p68431 a8mw92
H3 p68431 o00257
H3 p68431 o14646
H3 p68431 o15164
H3 p68431 o15315
H3 p68431 o43918
H3 p68431 o60885
H3 p68431 o75164
H3 p68431 o75530
H3 p68431 o95503
H3 p68431 o95931
H3 p68431 p04150
H3 p68431 p08559
H3 p68431 p21675
