source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	1ib1
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	1qja
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	1qjb
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	2o02
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	2wh0
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	3cu8
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	3nkx
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	3rdh
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4bg6
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4fj3
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4ihl
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4n7g
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4n7y
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	4wrq
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5d2d
